Time,Latitude,Longitude,Altitude,PosX,PosY,PosZ,VelX,VelY,VelZ
71.0,34.36611249999999,-103.75495333333328,57880.43333333358,-1264512.1322515814,-5165700.199206163,3612714.342461622,-4928.157771928469,516.2862864052877,-2660.3439944619313
72.0,34.34309999999999,-103.80783999999994,56934.40000000037,-1269440.2900235099,-5165183.912919758,3610053.99846716,-4926.034303538501,530.0923357149586,-2665.817589492537
73.0,34.32008749999999,-103.86072666666661,55978.56666666642,-1274366.3243270484,-5164653.820584043,3607388.1808776674,-4923.879577258835,543.8991314424202,-2671.2808275693096
74.0,34.29707499999999,-103.91361333333327,55012.93333333358,-1279290.2039043072,-5164109.9214526005,3604716.900050098,-4921.693582150852,557.7066091168672,-2676.7337034698576
75.0,34.27406249999999,-103.96649999999994,54037.5,-1284211.897486458,-5163552.214843484,3602040.166346628,-4919.476307393517,571.5147042293102,-2682.1762119708583
76.0,34.25104999999999,-104.0193866666666,53052.266666666605,-1289131.3737938516,-5162980.700139254,3599357.9901346574,-4917.227742297109,585.3233522521332,-2687.6083478624932
77.0,34.22803749999999,-104.07227333333327,52057.233333333395,-1294048.6015361487,-5162395.376787002,3596670.381786795,-4914.947876297636,599.1324886176735,-2693.0301059298217
78.0,34.20502499999999,-104.12515999999994,51052.40000000037,-1298963.5494124463,-5161796.2442983845,3593977.351680865,-4912.636698953342,612.9420487256721,-2698.441480972804
79.0,34.18201249999999,-104.1780466666666,50037.766666666605,-1303876.1861113997,-5161183.302249659,3591278.9101998922,-4910.294199956115,626.7519679479301,-2703.8424677918665
80.0,34.15899999999999,-104.23093333333327,49013.33333333302,-1308786.4803113558,-5160556.550281711,3588575.0677321004,-4907.920369119151,640.5621816301718,-2709.2330611920916
81.0,34.13598749999999,-104.28381999999993,47979.09999999963,-1313694.400680475,-5159915.988100081,3585865.8346709083,-4905.515196382301,654.372625076212,-2714.6132559874095
82.0,34.11297499999999,-104.3367066666666,46935.06666666642,-1318599.9158768572,-5159261.615475005,3583151.221414921,-4903.078671814874,668.1832335721701,-2719.983046996873
83.0,34.08996249999999,-104.38959333333327,45881.233333333395,-1323502.994548672,-5158593.432241432,3580431.238367924,-4900.610785613069,681.9939423650503,-2725.342429038137
84.0,34.06694999999999,-104.44247999999993,44817.59999999963,-1328403.6053342852,-5157911.438299067,3577705.895938886,-4898.111528094392,695.8046866785735,-2730.691396945156
85.0,34.04393749999999,-104.4953666666666,43744.16666666698,-1333301.7168623796,-5157215.633612389,3574975.2045419407,-4895.580889709992,709.6154017038643,-2736.0299455504864
86.0,34.02092499999999,-104.54825333333326,42660.93333333358,-1338197.2977520896,-5156506.018210685,3572239.17459639,-4893.0188610369805,723.4260225994512,-2741.3580696885474
87.0,33.99791249999999,-104.60113999999993,41567.90000000037,-1343090.3166131265,-5155782.592188085,3569497.8165267017,-4890.42543277354,737.2364844996482,-2746.675764211919
88.0,33.97489999999999,-104.6540266666666,40465.06666666642,-1347980.7420459,-5155045.355703586,3566751.1407624898,-4887.800595752196,751.0467225098982,-2751.9830239624716
89.0,33.95188749999999,-104.70691333333326,39352.43333333358,-1352868.5426416523,-5154294.308981076,3563999.1577385273,-4885.144340929808,764.856671705842,-2757.279843801167
90.0,33.92887499999999,-104.75979999999993,38230.0,-1357753.686982582,-5153529.45230937,3561241.877894726,-4882.4566593873315,778.6662671361119,-2762.5662185871042
91.0,33.90586249999999,-104.8126866666666,37097.766666666605,-1362636.1436419694,-5152750.786042234,3558479.311676139,-4879.737542340299,792.4754438167438,-2767.8421431845054
92.0,33.88284999999999,-104.86557333333326,35955.733333333395,-1367515.8811843097,-5151958.310598417,3555711.4695329545,-4876.9869811227545,806.2841367376968,-2773.107612465974
93.0,33.85983749999999,-104.91845999999993,34803.90000000037,-1372392.8681654325,-5151152.0264616795,3552938.3619204885,-4874.204967202619,820.0922808749601,-2778.362621312961
94.0,33.83682499999999,-104.97134666666659,33642.266666666605,-1377267.073132635,-5150331.9341808045,3550159.9992991756,-4871.391492176335,833.8998111486435,-2783.6071646003984
95.0,33.81381249999999,-105.02423333333326,32470.833333333023,-1382138.4646248114,-5149498.034369656,3547376.392134575,-4868.546547758626,847.7066624779254,-2788.841237219982
96.0,33.79079999999999,-105.07711999999992,31289.599999999627,-1387007.01117257,-5148650.327707178,3544587.550897355,-4865.67012580228,861.5127697456628,-2794.064834066201
97.0,33.76778749999999,-105.13000666666659,30098.56666666642,-1391872.6812983723,-5147788.814937432,3541793.486063289,-4862.762218284421,875.3180678021163,-2799.2779500349425
98.0,33.74477499999999,-105.18289333333325,28897.733333333395,-1396735.4435166568,-5146913.49686963,3538994.208113254,-4859.822817303939,889.1224914845079,-2804.4805800323375
99.0,33.72176249999999,-105.23577999999992,27687.099999999627,-1401595.2663339607,-5146024.374378146,3536189.7275332217,-4856.851915097563,902.9259755890816,-2809.672718964983
100.0,33.69874999999999,-105.28866666666659,26466.666666666977,-1406452.1182490583,-5145121.448402557,3533380.0548142567,-4853.8495040235575,916.7284548971802,-2814.854361750651
101.0,33.67573749999999,-105.34155333333325,25236.43333333358,-1411305.9677530818,-5144204.719947659,3530565.200452506,-4850.81557656615,930.529864160344,-2820.025503308978
102.0,33.65272499999999,-105.39443999999992,23996.400000000373,-1416156.783329648,-5143274.190083499,3527745.174949197,-4847.750125343911,944.3301381040365,-2825.1861385661177
103.0,33.62971249999999,-105.44732666666658,22746.56666666642,-1421004.5334549919,-5142329.859945395,3524919.988810631,-4844.653143101372,958.1292114304379,-2830.336262452416
104.0,33.60669999999999,-105.50021333333325,21486.93333333358,-1425849.1865980932,-5141371.730733965,3522089.6525481786,-4841.524622704135,971.9270188165829,-2835.475869903341
105.0,33.58368749999999,-105.55309999999992,20217.5,-1430690.7112207974,-5140399.803715148,3519254.176678275,-4838.364557157271,985.7234949115664,-2840.604955864139
106.0,33.56067499999999,-105.60598666666658,18938.266666666605,-1435529.0757779547,-5139414.080220236,3516413.571722411,-4835.172939588316,999.5185743458569,-2845.7235152791254
107.0,33.53766249999999,-105.65887333333325,17649.233333333395,-1440364.248717543,-5138414.561645891,3513567.848207132,-4831.949763248209,1013.3121917173266,-2850.8315431028605
108.0,33.51464999999999,-105.71175999999991,16350.400000000373,-1445196.1984807912,-5137401.249454173,3510717.016664029,-4828.6950215261895,1027.104281609878,-2855.929034295026
109.0,33.49163749999999,-105.76464666666658,15041.766666666605,-1450024.8935023174,-5136374.145172563,3507861.087629734,-4825.408707933268,1040.8947785776109,-2861.015983816702
110.0,33.46862499999999,-105.81753333333324,13723.333333333023,-1454850.3022102506,-5135333.250393986,3505000.0716459174,-4822.09081610851,1054.683617150411,-2866.0923866378143
111.0,33.44561249999999,-105.87041999999991,12395.099999999627,-1459672.3930263591,-5134278.566776835,3502133.9792592796,-4818.741339825792,1068.4707318339497,-2871.158237733878
112.0,33.42259999999999,-105.92330666666658,11057.066666666418,-1464491.134366185,-5133210.096045001,3499262.8210215457,-4815.360272976104,1082.2560571227223,-2876.213532086462
113.0,33.39958749999999,-105.97619333333324,9709.233333333395,-1469306.494639161,-5132127.839987879,3496386.607489459,-4811.9476095917635,1096.0395274693146,-2881.2582646785304
114.0,33.37657499999999,-106.02907999999991,8351.599999999627,-1474118.4422487528,-5131031.800460409,3493505.3492247807,-4808.50334382779,1109.8210773207247,-2886.292430501431
115.0,33.35356249999999,-106.08196666666657,6984.166666666977,-1478926.9455925806,-5129921.979383089,3490619.0567942793,-4805.027469963301,1123.6006410885602,-2891.3160245534964
116.0,33.33054999999999,-106.13485333333324,5606.933333333582,-1483731.973062544,-5128798.378742,3487727.7407697258,-4801.519982414087,1137.3781531741843,-2896.3290418353863
117.0,33.30753749999999,-106.1877399999999,4219.9000000003725,-1488533.493044958,-5127661.000588826,3484831.4117278904,-4797.980875722133,1151.153547950089,-2901.331477356609
118.0,33.28452499999999,-106.24062666666657,2823.0666666664183,-1493331.4739206801,-5126509.847040876,3481930.0802505338,-4794.410144554218,1164.9267597617581,-2906.3233261266723
119.0,33.26151249999999,-106.29351333333324,1416.4333333335817,-1498125.8840652343,-5125344.920281114,3479023.756924407,-4790.8077837119345,1178.697722950019,-2911.3045831648633
